beer_style,beer_name,beer_id,brewery_id
American Double / Imperial IPA,Hoppocratic Oath,65282,85
American Stout,Snaggletooth Stout,61801,85
Pumpkin Ale,Splashing Pumpkin,62782,85
Rye Beer,Sleigh Ryed,64348,85
Saison / Farmhouse Ale,Conscious Sedaison,70562,85
English Dark Mild Ale,Dark Mild,49959,86
Foreign / Export Stout,Stout,49718,86
Keller Bier / Zwickel Bier,Keller,40980,86
American Brown Ale,Brown Ale,65211,87
Hefeweizen,Hefeweizen,65208,87
Irish Dry Stout,Irish Stout,65209,87
Kölsch,Firkin - Twig & Berries Kolsch,40629,88
Dortmunder / Export Lager,Grumpy's Original Draught,39550,89
Japanese Rice Lager,Zhujiang Beer,31132,90
Kristalweizen,Hacker-Pschorr Kristall Weisse,873,91
Foreign / Export Stout,Hakim Stout,11493,92
American Amber / Red Lager,Harboe Red Beer,32368,93
Euro Strong Lager,Harboe Bjørnebryg Extra Stark (Bear Beer Extra Strong),22604,93
Euro Strong Lager,"Netto ""24"" Fødselsdags-Bryg",23315,93
Euro Strong Lager,Harboe Årgangssbryg,22609,93
Euro Strong Lager,Harboe Bear Beer Premium Strong Beer,57800,93
Low Alcohol Beer,Harboe Den Glada Danskens Lättöl,22808,93
Munich Dunkel Lager,Harboe Dunkel,37175,93
Schwarzbier,Skælskør Original Black,42953,93
Vienna Lager,De 5 Gaarde Falle Høstbryg,49485,93
American Barleywine,Old Clam Digger,52175,94
American Blonde Ale,Mt. Takhoma Blonde Ale,31973,94
American Brown Ale,T-Town Maple Brown,45885,94
American Dark Wheat Ale,Harmon's Killer Brew,45347,94
American Double / Imperial Stout,Bigwood Oak Aged Stout,64487,94
American Strong Ale,Triple Play,70247,94
California Common / Steam Beer,Mighty Tacoma Ale,62643,94
California Common / Steam Beer,"Mighty Tacoma Ale, V2",64082,94
Cream Ale,Cowlitz Cream Ale,52171,94
Dunkelweizen,Delightful Dark Wheat,56004,94
Extra Special / Strong Bitter (ESB),Brown's Point ESB,4371,94
Irish Dry Stout,Diamond Peak Dry Stout,56001,94
Kölsch,J.T. Memorial Kolsch,37559,94
Maibock / Helles Bock,Mai Bock,58132,94
Milk / Sweet Stout,Woodrow's Imperial Milk Stout,61745,94
Rye Beer,White River Rye,4421,94
Rye Beer,Rye PA,67723,94
Rye Beer,Red Ryeder Ale,56000,94
Rye Beer,Jumpin' Jimi Jack Rye,45348,94
Saison / Farmhouse Ale,Summer Solstice,69949,94
Scottish Gruit / Ancient Herbed Ale,Bring Me A Shrubbery Ale,45344,94
Scottish Gruit / Ancient Herbed Ale,Braveheart Beir,32264,94
Vienna Lager,Vienna Lager,53591,94
Wheatwine,Wet Dog Wheat Wine,47781,94
Low Alcohol Beer,Buckler,5636,95
Weizenbock,Heineken Tarwebok,14497,95
American Pale Wheat Ale,Washougal Wheat,33653,96
American Stout,Terminator Stout,60957,96
American Stout,Triple Chocolate Stout,33654,96
American Amber / Red Lager,1906 Reserva Especial Can,32811,97
Vienna Lager,Estrella De Navidad 2004,26353,97
Roggenbier,Roggen Bitch,74365,98
Belgian IPA,Hop Master's Abbey Belgian-Style Double IPA,51917,99
Belgian Strong Pale Ale,Gulden Fraug Belgian Style Ale,33927,99
Black & Tan,Bodacious Black & Tan,33662,99
English Barleywine,Barrel Aged Naked Evil,72827,99
Fruit / Vegetable Beer,Turbo Shandy,59548,99
Fruit / Vegetable Beer,Smashin' Berry Dark,40146,99
Fruit / Vegetable Beer,Smashing Berry Ale,38982,99
Hefeweizen,Wild Frog Wheat Ale,36862,99
Pumpkin Ale,Frog's Hollow Double Pumpkin Ale,52211,99
Russian Imperial Stout,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,47695,99
Winter Warmer,Barrel Aged Frosted Frog Christmas Ale,64096,99
Winter Warmer,Frosted Frog Christmas Ale,54134,99
English Bitter,Hebridean Gold Porridge Oat Ale,11709,100
English Pale Ale,Skyelight,71157,100
English Pale Ale,Red Cuillin,11456,100
Scotch Ale / Wee Heavy,Wee Beast (Cuillin Beast),17010,100
Scottish Ale,Devanha Scottish XXX Ale,26909,100
Scottish Ale,Tigh Dearg Ale,36661,100
Scottish Ale,Blaven,7519,100
Scottish Ale,Black Cuillin,1557,100
Smoked Beer,Tarasgeir,73020,100
California Common / Steam Beer,Jamesport Amber Steam,25674,101
English Dark Mild Ale,Dark Mild,15130,102
Extra Special / Strong Bitter (ESB),Red Breast,15131,102
Dortmunder / Export Lager,Highlands Dortmunder Lager,60004,103
German Pilsener,Kirner Pils Premium,49803,104
Maibock / Helles Bock,Schinderhannes Bock,70395,104
Munich Helles Lager,Weltenburger Kloster Urtyp Hell,6769,105
American Wild Ale,KB Grand Cru 2008,73234,106
American Wild Ale,KB Grand Cru 2011,73239,106
American Wild Ale,KB Grand Cru 2010 - Oak Aged Cassis,73235,106
American Wild Ale,KB Grand Cru 2009,73237,106
American Wild Ale,KB Grand Cru 2010 - Kriek,73240,106
Lambic - Unblended,KB Grand Cru 2010 - Unblended,73241,106
English Brown Ale,Dog In The Fog,39028,107
Keller Bier / Zwickel Bier,WalderBräu Naturtrüb Hell,34650,108
Dortmunder / Export Lager,Kössel Festbier,40383,109
German Pilsener,Kollers Naturtrüb Hell,40394,110
Munich Dunkel Lager,Kollers Naturtrüb Dunkel,40395,110
Bière de Garde,Goudale,7451,111
Bière de Garde,Saint Landelin La Divine,38903,111
English Dark Mild Ale,Sweet Dark,16871,112
Vienna Lager,LIDO Speci&#257;lais,44459,113
American Amber / Red Lager,Livu Premium,42437,114
American Pale Lager,Funky Pelican Pilsner,64541,115
American Pale Wheat Ale,Whole Lotta Love Belgian,64542,115
English Stout,Starry Night Stout,64540,115
Hefeweizen,High Country Hefeweizen,50343,116
Chile Beer,Chilli-Out,70135,117
Herbed / Spiced Beer,Matso's Monsoonal Blonde,48047,117
Herbed / Spiced Beer,Ginger Beer,72064,117
Munich Dunkel Lager,Matso's Smokey Bishop,45116,117
Bière de Garde,Bier De Mars,49607,118
California Common / Steam Beer,California Common,46563,118
Herbed / Spiced Beer,Belgian Spice Anniversary Ale,56523,118
English Pale Mild Ale,Maple Moon Ale,42534,119
American Adjunct Lager,Meta Export Lager,35064,120
Hefeweizen,Weizen,23668,121
Smoked Beer,Porter Fume,44687,121
Eisbock,Eisbock (Congelator),35821,122
Kristalweizen,Cristal Weizen,35870,122
American Brown Ale,Gene's American Brown Ale,44081,123
American Double / Imperial IPA,Oatboy Imperial IPA,29142,123
American Double / Imperial Stout,Oak-Aged Black River Imperial Stout,47880,123
American Porter,The Captain's Porter,2780,123
American Stout,Galleria Espresso Stout,24057,123
American Stout,"The Rod ""winter"" Stout",7819,123
Belgian IPA,Georgia Belgique,53367,123
Belgian Pale Ale,Inspiration Ale,2724,123
Belgian Pale Ale,Goin' Monk,65099,123
Belgian Strong Pale Ale,Six Degrees Belgian Golden Ale,71533,123
Belgian Strong Pale Ale,Six Degrees Belgian Golden Ale Cask With Cardamom And Lemongrass,72005,123
Czech Pilsener,Moon Light,20013,123
English Bitter,Apparition Ale Cask With Sovereign Hops,71513,123
English Bitter,Apparition Ale Cask With Fuggles Hops,72200,123
English Bitter,Apparition Ale,62442,123
English Brown Ale,Bay Street Brown Ale,8514,123
English Pale Ale,Moon Dance Pale Ale,26562,123
Flanders Oud Bruin,Special Reserve Oud Bruin,74027,123
Fruit / Vegetable Beer,Peachy Sour Brown Ale,43602,123
Fruit / Vegetable Beer,The Tater Ale,34569,123
Hefeweizen,Wheezy Heifer,27229,123
Hefeweizen,Hefe-Weizen,2776,123
Irish Dry Stout,The Bomb-Dry Stout,11162,123
Irish Dry Stout,Skunk-Ape Stout,55193,123
Kölsch,Claire De Lune,2726,123
Maibock / Helles Bock,Honey Bock,39519,123
Märzen / Oktoberfest,Savannah Fest Beer,8717,123
Rye Beer,Mai-Rye-Bock,24016,123
Scotch Ale / Wee Heavy,The Highland Stagger,20689,123
Tripel,Dixie Crystal Beer,38226,123
Witbier,Wild Wacky Wit,19558,123
Witbier,Houblon Wit,62441,123
Munich Dunkel Lager,Dunkles Bier,52155,124
Munich Helles Lager,Helles Bier,52156,124
Vienna Lager,Dark,11126,124
Sahti,Lips Of Faith - Sahti,62022,125
Roggenbier,Roggen Roll,68902,126
American Blonde Ale,Bulldog Ale,53366,127
American Pale Wheat Ale,Summer Wheat Ale,31453,127
American Wild Ale,Whiskey Sour Dunkel,49815,127
Cream Ale,Gonzaga Ale,47171,127
Cream Ale,Créme Ale,38537,127
Cream Ale,Copper Creme Ale,11226,127
Cream Ale,Independence Ale,72004,127
Munich Dunkel Lager,Chocolate Dunkel,17162,127
American Black Ale,Deceiver,74672,128
American Double / Imperial IPA,NoDa Rye Z'd,74683,128
Winter Warmer,Santa Baby,76668,128
Winter Warmer,Naughty List,76508,128
Lambic - Fruit,Framboise,60415,129
Dunkelweizen,Lemp Jurassic Dark,25827,130
English Dark Mild Ale,Light,13349,130
Milk / Sweet Stout,Chocolate By The Barrel Cream Stout,52556,130
American Pale Wheat Ale,Washington Park Wheat,55339,131
American Pale Wheat Ale,Winter's Street Strawberry Ale,30182,131
Maibock / Helles Bock,Steambock,36732,131
American Dark Wheat Ale,Ratsel Red Wheat Ale,67740,132
Altbier,Alt-Ernative Amber,46249,133
Altbier,Akron Dopple Alt,44875,133
American Brown Ale,Buckeye Brown,46248,133
American Strong Ale,Twice Bitten,46683,133
Irish Red Ale,Cardinal Ale,46254,133
Kölsch,Verich Gold,46255,133
Pumpkin Ale,Ohio Pumpkin Ale,46252,133
American Strong Ale,Old Orange Old Dummy,72427,134
Kölsch,Old Orange Street Fair,72425,134
English Brown Ale,Otro Mundo Nut Brown Ale,40767,135
English Strong Ale,Otro Mundo Strong Red Ale,40765,135
American Dark Wheat Ale,Cara-Mellow Weizen II,11414,136
Roggenbier,Sinebrychoff Krouvi,29895,137
American Barleywine,Code Blue,15894,138
American Blonde Ale,Yellowjacket Ale,69087,138
American Double / Imperial IPA,Holiday Imperial,55951,138
American Double / Imperial Stout,Leviathan Imperial Stout,39606,138
American Porter,Orca Porter,44082,138
American Stout,Killer Whale Stout,8770,138
American Strong Ale,Holiday XXII Imperial Blue,64800,138
American Strong Ale,Megalodon,64803,138
Belgian Strong Pale Ale,Holiday Trappist Style Ale,41584,138
Doppelbock,Deviator Doppelbock,12835,138
English Strong Ale,Old Oakland Ale,68672,138
Irish Dry Stout,Luck O' The Irish,68668,138
English Pale Mild Ale,Colón Rubia,10603,139
American Pale Wheat Ale,Sawgrass Wheat,64851,140
Flanders Red Ale,Nüa Barric,55030,141
American Brown Ale,Imperial Brown Ale,25103,142
American Double / Imperial IPA,Pike Double IPA,48525,142
Dubbel,Pike Tandem,53495,142
Lambic - Fruit,Pike Tripel Kriek,53449,142
Munich Dunkel Lager,Raudonyu Dobilu Alus,70732,143
Keller Bier / Zwickel Bier,MB Pils,57853,144
Doppelbock,Eliksir,62056,145
Vienna Lager,Netopir,31427,145
English Pale Mild Ale,Red Tail Pale Ale,69255,146
Kölsch,Richmodis Koelsch,22169,147
Euro Strong Lager,Lobster Lovers Beer,40176,148
Euro Strong Lager,"Zhiguly Grande 9,5",41613,148
Chile Beer,Mexicali Smoke,29816,149
Milk / Sweet Stout,Roffey's Lake Effect Stout,1326,150
Kvass,Old Kiev Kvas,70786,151
American Amber / Red Lager,Saddle Rock Red Lager,36809,152
American Brown Ale,Nut Brown Ale,32734,153
Oatmeal Stout,Oatmeal Stout,32712,153
English Porter,Toffee Porter,75708,154
American Malt Liquor,St. Ides High Gravity Malt Liquor,798,155
American Amber / Red Lager,Happy Jack Ale,30285,156
American Pale Lager,Emperor Norton Lager,20111,156
American Pale Wheat Ale,Andromeda Wheat,24922,156
Bock,Grace Darling Bock,40810,156
English Dark Mild Ale,Hallidie S. Ale,24336,156
English India Pale Ale (IPA),ShanghaIPA,7766,156
Weizenbock,St. Stephen's Bock,34801,156
Weizenbock,Dopple Weizen,20112,156
German Pilsener,Zahre Chiara Pilsen,28469,157
Herbed / Spiced Beer,Zahre Canapa,30199,157
Vienna Lager,Zahre Rossa Vienna,66024,157
American Brown Ale,Head Rush,43563,158
American Dark Wheat Ale,Oktoberfest,53588,159
Keller Bier / Zwickel Bier,Schnucken Pils,24890,160
Eisbock,Schorschbock Ice 13,73357,161
Eisbock,Schorschbräu Schorschbock 31%,51466,161
Eisbock,Schorschbräu Schorschbock 57%,73368,161
Eisbock,Schorschbräu Schorschbock 40%,55712,161
Eisbock,Schorschbräu Schorschbock 43%,57856,161
Weizenbock,Schorsch Weizen 16%,71004,161
Weizenbock,Schorschbräu Donner Weizen,20169,161
American Double / Imperial Pilsner,Rose's Imperial Pilsner,52352,162
Sahti,Oak Barrel Millennium Ale,24779,163
Sahti,Shenandoah Oak Barrel Aged Millennium Ale,42541,163
California Common / Steam Beer,Nuthin' In Common - Beer Camp #8,51884,164
Weizenbock,Weizenbock - Beer Camp #37,46964,164
Berliner Weissbier,Berliner Weisse,50849,165
California Common / Steam Beer,Camino Real Common,75030,166
Roggenbier,New Bavaria,68586,167
Kvass,Olimpia Kvas,70983,168
Maibock / Helles Bock,Arnstädter UrBock,64816,169
Lambic - Unblended,Hakusekikan Shizen Bakushu,50364,170
American Double / Imperial Pilsner,Brewers Reserve Imperial Pilsner,41688,171
Dortmunder / Export Lager,EMU Export,1539,172
Roggenbier,Crazy Jackass Ale,18077,173
Roggenbier,Crazy Jackass Ale (Roggenbier),38728,173
American Amber / Red Lager,Taps Charleston Lager,30368,174
Dortmunder / Export Lager,Taps Premium Lager,30371,174
American Double / Imperial Pilsner,Tenaya Creek Double Pilsner,30006,175
American Malt Liquor,Ten,25196,176
Roggenbier,Roggenschnizzle,66413,177
American Double / Imperial Pilsner,Humulus Lager With Simcoe Hops,57276,178
American Double / Imperial Pilsner,Provisions Series: Run B.M.C.,70981,178
Berliner Weissbier,Hottenroth Berliner Weisse,43889,178
Berliner Weissbier,Hottenroth Berliner Weisse (Blueberries),50922,178
Berliner Weissbier,Hottenroth Berliner Weisse (Raspberries),50923,178
Bière de Garde,Birra Basta,73890,178
Braggot,Mead-Lange,49570,178
Chile Beer,Nano Series: El Fantasma Negro,68722,178
Chile Beer,Black Orchard Mole Poblano (Holy Mole),47498,178
Faro,Pharaoh,70363,178
Flanders Oud Bruin,Collaboration Series: Marrón Acidifié,65862,178
Flanders Red Ale,Gypsy Tart,49830,178
Flanders Red Ale,Oude Tart,54888,178
Gose,Provisions Series: Salt Of The Earth,66677,178
Gueuze,Batch 50: Grand Funk Ale Road,75559,178
Lambic - Fruit,Kriek,70470,178
California Common / Steam Beer,The Cowboy California Common,17526,179
Irish Dry Stout,Zona Brewing Irish Stout,24298,179
Kölsch,The Cowboy Kolsch,19201,179
Munich Helles Lager,Zona Brewing Helles,24296,179
Weizenbock,Zona Brewing Weizenbock,23694,179
American Double / Imperial Stout,Conan The Destroyer Coffee Stout,72587,180
American Pale Lager,Hanover Lager,47994,180
American Pale Wheat Ale,Spring Fest,50978,180
Baltic Porter,Mick Jack Porter,16418,180
Bock,Birthday Bock,17753,180
Cream Ale,Queechee Cream Ale,22054,180
Doppelbock,Al's Bock,57929,180
Vienna Lager,Greg Noonan Memorial Vienna,59408,180
American Pale Wheat Ale,Golden Wheat Light,3812,181
English Pale Mild Ale,Spring Mild,42010,181
English Pale Mild Ale,Session Ale,44651,181
English Stout,Chocolate Stout,46620,181
Herbed / Spiced Beer,Tim's Ginger Beer,17719,181
American Pale Lager,Amalgamated Zoigl,54060,182
Dunkelweizen,Amalgamated Dunkel,54846,182
English India Pale Ale (IPA),Amalgamated IPA,71830,182
Maibock / Helles Bock,Amalgamated Helles,50575,182
Märzen / Oktoberfest,Amalgamated Märzen,50632,182
Old Ale,Huon Dark Ale,33286,183
American Amber / Red Lager,Meddie's American Rye Lager,37479,184
Dunkelweizen,Vermont Dunkelweizen,15214,184
Dunkelweizen,Brewmasters Cup,47707,184
Dunkelweizen,Zamboni Black Ice,27809,184
Flanders Red Ale,Tulach Leis,57675,184
Herbed / Spiced Beer,Holidaze,15916,184
Herbed / Spiced Beer,Blue Nile # 2,44891,184
Herbed / Spiced Beer,Blue Nile Lotus Gruit,41383,184
Herbed / Spiced Beer,Absinthe,46208,184
Keller Bier / Zwickel Bier,Zwickelbier,65490,184
Lambic - Unblended,Spuyten Duyvil,37103,184
Maibock / Helles Bock,Billy Buck Bock,16077,184
Milk / Sweet Stout,Milk Stout,69706,184
Munich Helles Lager,St Paul Street Munich Helles Lager,17205,184
American Blonde Ale,Bees Knees Honey Ale,75989,185
American Brown Ale,Nut Brown Ale,23019,185
American Double / Imperial IPA,Hopturnal Emissions,74654,185
American Pale Wheat Ale,Golden Hawk Wheat,16893,185
Dunkelweizen,Dunkel Weizen,5616,185
English Brown Ale,Brown Nose Ale,22213,185
English Pale Ale,Unas Mas! (Simcoe Hops),74651,185
Extra Special / Strong Bitter (ESB),Flying Aces Ale,16892,185
Herbed / Spiced Beer,Holidays R Over Spiced Ale,56687,185
Maibock / Helles Bock,Helles Honey Bock,19898,185
Oatmeal Stout,Quaker Oatmeal Stout,28271,185
Schwarzbier,Black Night Black Lager,32084,185
American Dark Wheat Ale,Trafalgar Dark Wheat,42904,186
American Pale Lager,Elora Grand Lager,27596,186
American Strong Ale,Trafalgar Black Bullet,38866,186
American Strong Ale,Trafalgar Korruptor,32222,186
Belgian Dark Ale,Trafalgar Abbey Belgian Spice Ale,2784,186
Belgian Dark Ale,Trafalgar Celebration Ale,8274,186
Bock,Trafalgar Bock,29727,186
Bock,Trafalgar Maple Bock,36380,186
Cream Ale,Trafalgar Cedar Cream Ale,48167,186
Cream Ale,Creme Ale,14742,186
English Pale Mild Ale,Trafalgar Red Hill Mild,31630,186
English Porter,Trafalgar Peppermint Porter,38865,186
Irish Red Ale,Elora Irish Ale,27597,186
Irish Red Ale,Paddy's Irish Red,8590,186
Kristalweizen,White Oak Weissbier,32661,186
Rye Beer,Trafalgar Oak-Aged Rye,41315,186
Smoked Beer,Trafalgar Smoked Oatmeal Stout,38552,186
English Strong Ale,Red Moon,48213,187
Foreign / Export Stout,Black Horse Black Beer,48215,187
German Pilsener,Sausa Pils,47969,187
Hefeweizen,Sausa Weizen,47986,187
American Amber / Red Lager,Sled Dog Red,54951,188
English Stout,Wapping Stout,52287,189
American Brown Ale,Bobsled Brown,48530,190
Chile Beer,Jalapeño Cream Ale,62799,190
Doppelbock,The Devastator Double Bock,48148,190
Munich Helles Lager,Weib's Helles,40400,191
Bière de Garde,Bierre De Garde,69828,192
Altbier,'Sconnie Rustic Trail Amber,20274,193
Kölsch,'Sconnie Tall Blonde Ale,20273,193
American Amber / Red Lager,Hap And Harry's Lynchburg Lager,70009,194
American Brown Ale,Dos Perros,20893,194
Dunkelweizen,Dunkel Weizen,20574,194
English Dark Mild Ale,Quinn's Marathon Mild,27362,194
Hefeweizen,Hefeweizen,20575,194
Irish Dry Stout,Onward Irish Stout,17094,194
Saison / Farmhouse Ale,Spring Puppy,67768,194
American Black Ale,Pot Kettle Black,66818,195
Belgian Pale Ale,Return To Magenta,62884,195
Dubbel,Her Majesty 2010,74370,195
Saison / Farmhouse Ale,Her Majesty 2011,72146,195
Smoked Beer,Rex Attitude,69677,195
American Dark Wheat Ale,Buffalo Butt,6873,196
American Dark Wheat Ale,Wheat Beer,74150,197
Keller Bier / Zwickel Bier,Löwenbräu Hausbräu,18576,198
NA,NA,NA,199
NA,NA,NA,199
